B001,General Checkup,Dr. Smith,John Doe,Confirmed,2024-03-20 10:00 AM,+1-555-123-4567,+1-555-987-6543
B002,Dental Cleaning,Dr. Johnson,Alice Brown,Pending,2024-03-20 11:30 AM,+1-555-234-5678,+1-555-876-5432
B003,Hair Styling,Ms. Williams,Emma Wilson,Confirmed,2024-03-20 2:00 PM,+1-555-345-6789,+1-555-765-4321
B004,General Checkup,Dr. Smith,Michael Clark,Cancelled,2024-03-21 9:30 AM,+1-555-123-4567,+1-555-654-3210
B005,Dental Cleaning,Dr. Johnson,Sarah Davis,Confirmed,2024-03-21 3:00 PM,+1-555-234-5678,+1-555-543-2109
B006,General Checkup,Dr. Smith,Linda Green,Confirmed,2024-03-22 11:00 AM,+1-555-123-4567,+1-555-432-1098
B007,Dental Cleaning,Dr. Johnson,Kevin Lee,Pending,2024-03-22 1:30 PM,+1-555-234-5678,+1-555-321-0987
B008,Hair Styling,Ms. Williams,Olivia Martinez,Confirmed,2024-03-22 4:00 PM,+1-555-345-6789,+1-555-210-9876
B009,General Checkup,Dr. Smith,James Taylor,Confirmed,2024-03-23 9:00 AM,+1-555-123-4567,+1-555-109-8765
B010,Dental Cleaning,Dr. Johnson,Nancy Roberts,Cancelled,2024-03-23 2:00 PM,+1-555-234-5678,+1-555-098-7654
B011,Hair Styling,Ms. Williams,Chris Walker,Confirmed,2024-03-23 3:30 PM,+1-555-345-6789,+1-555-987-6540
B012,General Checkup,Dr. Smith,Sophia Harris,Pending,2024-03-24 10:30 AM,+1-555-123-4567,+1-555-876-5439
